ID,Username,Twitter @,Tweet,Tweeted At,Favourite Count,Retweet Count,Sentiment

1098833076371812353,Ceke Mathenge,CekeMathenge,Tuned in to #KigaliInTheMorning for vibes to get through this gloomy and grey Friday.,2019-02-22 06:33:15,0,0,Negative

1098833071103606786,lauren bonnici,laurenbonnicii,So ya this whole year I thought allusions and literary devices were due at midnight every Friday instead of at noon... no wonder why I get 75/100 on every single one I thought Ms. LaVallee just hated me omg,2019-02-22 06:33:14,0,0,Negative

1098833066796244993,Street Cred,mo_emdy,"Indeed nja ka botlhodi , kana maloba ke thudile nja before i came on to hav a crash last Friday https://t.co/d6vUZ5u11l",2019-02-22 06:33:13,0,0,Neutral

1098833062752702464,Melissa 🍯🧡,MelissaAlicee_,I really thought today was Friday 🙃,2019-02-22 06:33:12,0,0,Positive

1098833057874886662,POPOTE KENYA.,popotepayments,"Happy Friday Popote fans! We hope you have had a fantastic week. How are you planning on unwinding this weekend? Watching soccer, getting a massage, taking a trip? #popotepay",2019-02-22 06:33:10,0,0,Positive

1098833056289427456,David Kisamfu,thedextazlab,Crikey! Friday's Google Doodle Celebrates Steve Irwin's Birthday https://t.co/FOoKLGce06,2019-02-22 06:33:10,0,0,Neutral

1098833049758957569,Haruna shuaib,harunnga102,@LALInsiders @Lakers Yeah that means i'll have a happy Friday.😇😎,2019-02-22 06:33:09,0,0,Positive

1098833047313502208,dan,danpat035,@AidenHatfield Happy Friday have a great day. https://t.co/jonGDWkxlI,2019-02-22 06:33:08,0,0,Positive

1098833034508451842,Gary's Mind,garys_mind,I look like a Jimmy Buffett song today. #Friday #jimmybuffett #relaxed @ Wackernheim https://t.co/vP1zOynthW,2019-02-22 06:33:05,0,0,Neutral

1098833032457449472,Revs De Cuba Liverpool,DeCubaLiverpool,"Happy National Tequila Day! 🌵🌵🌵 Here in Cuba tequila is the official drink of Friday join us from midday for sunshine terrace vibes, live music from 5:30pm and a DJ from 9pm into the night #TFIF #RDCLIV #albertdock #nationaltequiladay https://t.co/X5GsIhfc82",2019-02-22 06:33:04,0,0,Positive

1098833026803470336,Jack Bryan,jackbryan8,Thank fuck it’s Friday! 👍🏼🙌🏼,2019-02-22 06:33:03,0,0,Negative

1098833025503281153,Khazimla 🌚,Vanisa_Kuze,It’s Friday 😫🔥 and I’m late to my first class but oh well!,2019-02-22 06:33:03,0,0,Positive

1098833022177214464,EMMY BREEZE ACHUKWU,Emmy_breeze,"Please is today still Friday in Nigeria?
Or they've postponed
it? 😂😂😂",2019-02-22 06:33:02,0,0,Neutral

1098833019857625088,Stephane Budo | MVP,stephanebudo,It's Friday night! Time for a well deserved weekend people 😁 https://t.co/Frj8ud5i0S,2019-02-22 06:33:01,0,0,Neutral

1098833015420141570,Uconnect Fellowship,uconnectfellows,"If you know! 
COMPASSION DANCE CREW is ready to bring down the house next Friday fellowship @KPCUG with performances you've never seen before. Don't miss
#DanceOff https://t.co/uwsEZoS9tM",2019-02-22 06:33:00,0,0,Positive

1098833015269191680,irteP Vibes 🌊,VibesPetri,"@Julita56795382 
Hello dear Julita🙋🏼‍♂️
Have a wonderful Friday as you always are☀️😊 https://t.co/Jzc6QQTYmi",2019-02-22 06:33:00,0,0,Positive

1098833008340144128,Beyond Lost,Kittens_Rainbo,ME TRAINING FOR FRIDAY AND CONCERT DAY https://t.co/HGsEHkuCPc,2019-02-22 06:32:59,0,0,Neutral

1098833006234648577,Breaking News,News_Kenya,"Kenya court to rule on decriminalising homosexuality: NAIROBI, Kenya Feb 22 - Kenya's High Court will decide Friday whether to scrap colonial-era laws which criminalise homosexuality, in a ruling that.. https://t.co/wHPaAVABfz",2019-02-22 06:32:58,0,0,Positive

1098833000320643072,Golden Key NMMU,GK_NMMU,Happy Friday Everyone 😁 https://t.co/joNhswIwTy,2019-02-22 06:32:57,0,0,Positive

1098832994540896256,Russell 🎳,lazy_bowler,Current plans for my new stream schedule will be Thursday night 7-10 and Friday night 11-2. Hope you guys and gals can swing by!,2019-02-22 06:32:55,0,0,Positive

